sku,family,M,N,K,dtype,median_s,iqr_s,n_iters
v5e,random,5264,10864,240,bf16,0.0004540944999007479,3.5867500400854624e-06,20
v5e,random,5264,10864,240,int8,0.00047079000012217875,1.6172499499589321e-06,20
v5e,random,5896,1912,376,bf16,0.0002009149999366855,4.7049999807313725e-06,20
v5e,random,5896,1912,376,int8,0.0001979204999997819,4.950000118242315e-06,20
v5e,random,6104,392,168,bf16,0.00014093049992425222,5.9782498738059076e-06,20
v5e,random,6104,392,168,int8,0.0001409350001040366,3.0500000320898835e-06,20
v5e,random,6272,11312,472,bf16,0.0006003644999736935,2.4007500201150833e-06,20
v5e,random,6464,1376,15512,bf16,0.0016534245000912051,3.0149997769512993e-06,20
v5e,random,6464,1376,15512,int8,0.0008909750000611893,3.832499828604341e-06,20
v5e,random,6512,1944,520,bf16,0.0002173099999254191,1.4325000847748015e-06,20
v5e,random,6512,1944,520,int8,0.00022288000002390618,1.8999999724655936e-06,20
v5e,random,6904,2192,1296,bf16,0.00036498500003290246,4.560000149922416e-06,20
v5e,random,6920,1320,400,bf16,0.00018421499999021762,2.7149998231834616e-06,20
v5e,random,6936,960,7176,bf16,0.00064799500000845,2.994749934259744e-06,20
v5e,random,6936,960,7176,int8,0.0004073149999612724,2.2250000597523467e-06,20
v5e,random,7360,816,624,bf16,0.00017110950000187586,4.382249869649968e-06,20
v5e,random,7432,5056,3664,bf16,0.0016003000000637257,2.191000135098875e-06,20
v5e,random,7432,5056,3664,int8,0.0008988800000224728,4.319750075865159e-06,20
v5e,random,7680,1008,14848,bf16,0.0013397444998872743,3.4450000612196163e-06,20
v5e,random,7680,1008,14848,int8,0.0008129150000968366,9.96474989278795e-06,20
v5e,random,7992,6912,856,bf16,0.000664045000007718,3.927500074496493e-06,20
v5e,random,7992,6912,856,int8,0.00046685550012171007,1.0097499909988983e-05,20
v5e,random,8208,152,4416,bf16,0.00018608499999572814,8.219999983793969e-06,20
v5e,random,8208,152,4416,int8,0.00016255000002729503,3.079999999044958e-06,20
v5e,random,8336,424,256,bf16,0.0001474999999118154,2.980000033403485e-06,20
v5e,random,8336,424,256,int8,0.00014813500001764623,2.8850000148850086e-06,20
v5e,random,8456,14960,13312,bf16,0.018485418499949446,7.77599984758126e-06,20
v5e,random,8456,14960,13312,int8,0.00902526449999641,2.705000042624306e-06,20
v5e,random,8872,1272,10728,bf16,0.0014164694999863059,3.980749966103758e-06,20
v5e,random,9024,9832,168,bf16,0.0006417950000923156,3.105000132563873e-06,20
v5e,random,9024,9832,168,int8,0.0006740794999586797,3.1499998840445187e-06,20
v5e,random,9160,6592,3272,bf16,0.002271239500032607,2.458249923620315e-06,20
v5e,random,9160,6592,3272,int8,0.0023428445000490683,2.918999996381899e-06,20
v5e,random,9216,1528,680,bf16,0.0002464050000980933,3.2900001656344102e-06,20
v5e,random,9520,384,240,bf16,0.00014832999988811935,2.522500096802105e-06,20
v5e,random,9520,384,240,int8,0.00015158500002598885,3.897499993854581e-06,20
v5e,random,9544,2744,728,bf16,0.00036041999987901363,4.2250002820765076e-06,20
v5e,random,9624,392,2632,bf16,0.00024053999993611797,2.845000039997103e-06,20
v5e,random,9624,392,2632,int8,0.00019367499987765768,3.4699999673648563e-06,20
v5e,random,9936,2176,160,bf16,0.00025965500003621855,2.5925001523319224e-06,20
v5e,random,10144,672,408,bf16,0.00016921999997521198,2.065000160200725e-06,20
v5e,random,10744,6936,312,bf16,0.0005640800000037416,4.009999884146964e-06,20
v5e,random,10792,1296,8464,bf16,0.0014421349999338418,8.37575004197788e-06,20
v5e,random,10792,1296,8464,int8,0.0007857594999904904,6.189249916133122e-06,20
v5e,random,11520,14024,144,bf16,0.0010934250000218526,6.0199999438736995e-06,20
v5e,random,11520,14024,144,int8,0.0010245850000956125,3.81750004407877e-06,20
v5e,random,11784,224,4400,bf16,0.00024411999993390054,2.0699998231066274e-06,20
v5e,random,11784,224,4400,int8,0.00018253999996886705,4.042499881506956e-06,20
